-! 07/11/15 10:23:10.936 ../bin/sickLaser: warning: invalid config file entry: "This property is used by the clients to connect to IceStorm."
-! 07/11/15 10:23:10.938 ../bin/sickLaser: warning: invalid config file entry: "This property is used by the clients to connect to IceStorm."
	*** Attempting to initialize the Sick LD...
	Attempting to connect to Sick LD @ 192.168.187.204:49152
		Connected to Sick LD!
	Attempting to start buffer monitor...
		Buffer monitor started!
	Attempting to sync driver with Sick LD...
		Synchronized!
	*** Init. complete: Sick LD is online and ready!
	Num. Active Sectors: 1
	Motor Speed: 10 (Hz)
	Scan Resolution: 1 (deg)

	Attempting to set desired scan config...
		Using desired scan area(s)!
	=========== Sick Sector Config ===========
	Num. Active Sectors: 1
	Num. Initialized Sectors: 1
	Sector Configs.:
		0 [0,359] (MEASURING)
	==========================================
	Requesting RANGE ONLY data stream from Sick LD...
		Data stream started!
valor304 es 472.656
valor305 es 460.938
valor306 es 472.656
valor307 es 472.656
valor308 es 449.219
valor309 es 472.656
valor310 es 500
valor311 es 476.562
valor312 es 488.281
valor313 es 496.094
valor314 es 496.094
valor315 es 503.906
valor316 es 492.188
valor317 es 464.844
valor318 es 496.094
valor319 es 515.625
valor320 es 62.5
valor321 es 50.7812
valor322 es 50.7812
valor323 es 62.5
valor324 es 476.562
valor325 es 500
valor326 es 500
valor327 es 488.281
valor328 es 503.906
valor329 es 492.188
valor330 es 496.094
valor331 es 496.094
valor332 es 464.844
valor333 es 472.656
valor334 es 500
valor335 es 500
valor336 es 453.125
valor337 es 484.375
valor338 es 484.375
valor339 es 472.656
valor340 es 453.125
valor341 es 441.406
valor342 es 464.844
valor343 es 429.688
valor344 es 460.938
valor345 es 492.188
valor346 es 488.281
valor347 es 449.219
valor348 es 472.656
valor349 es 441.406
valor350 es 468.75
valor351 es 488.281
valor352 es 441.406
valor353 es 460.938
valor354 es 464.844
valor355 es 441.406
valor356 es 468.75
valor357 es 468.75
valor358 es 476.562
valor359 es 472.656
valor0 es 449.219
valor1 es 472.656
valor2 es 468.75
valor3 es 468.75
valor4 es 468.75
valor5 es 464.844
valor6 es 457.031
valor7 es 472.656
valor8 es 496.094
valor9 es 484.375
valor10 es 488.281
valor11 es 460.938
valor12 es 488.281
valor13 es 468.75
valor14 es 464.844
valor15 es 480.469
valor16 es 460.938
valor17 es 472.656
valor18 es 421.875
valor19 es 441.406
valor20 es 429.688
valor21 es 460.938
valor22 es 449.219
valor23 es 457.031
valor24 es 457.031
valor25 es 445.312
valor26 es 472.656
valor27 es 457.031
valor28 es 453.125
valor29 es 449.219
valor30 es 453.125
valor31 es 457.031
valor32 es 437.5
valor33 es 437.5
valor34 es 453.125
valor35 es 433.594
valor36 es 468.75
